date,lead_months,method,forecast
2026-03-01,1,M5 Dual fusion ResNet,-2.0560094719696855
2026-04-01,2,M5 Dual fusion ResNet,-3.2885138506451295
2026-05-01,3,M5 Dual fusion ResNet,-3.395056285922713
2026-06-01,4,M5 Dual fusion ResNet,-1.1699314011770987
2026-07-01,5,M5 Dual fusion ResNet,-3.8843159141446124
2026-08-01,6,M5 Dual fusion ResNet,0.16651660510311284
2026-09-01,7,M5 Dual fusion ResNet,-0.900601456665874
2026-10-01,8,M5 Dual fusion ResNet,-1.6668284125644748
2026-11-01,9,M5 Dual fusion ResNet,0.7745365406614728
2026-12-01,10,M5 Dual fusion ResNet,1.8626674392603408
2027-01-01,11,M5 Dual fusion ResNet,2.1176968937870804
2027-02-01,12,M5 Dual fusion ResNet,0.369069875820232
2027-03-01,13,M5 Dual fusion ResNet,1.420323614464431
2027-04-01,14,M5 Dual fusion ResNet,1.0067352892313373
2027-05-01,15,M5 Dual fusion ResNet,-0.832484101665817
2027-06-01,16,M5 Dual fusion ResNet,-4.0039200498080945
2027-07-01,17,M5 Dual fusion ResNet,-1.422861468493845
2027-08-01,18,M5 Dual fusion ResNet,-2.739174452121172
2027-09-01,19,M5 Dual fusion ResNet,-4.855923291961297
2027-10-01,20,M5 Dual fusion ResNet,-3.761209509990886
2027-11-01,21,M5 Dual fusion ResNet,-3.268224158927784
2027-12-01,22,M5 Dual fusion ResNet,-3.603333574154244
2028-01-01,23,M5 Dual fusion ResNet,-3.8581804378449354
2028-02-01,24,M5 Dual fusion ResNet,-4.231979606770051
2028-03-01,25,M5 Dual fusion ResNet,-4.044823609518922
2028-04-01,26,M5 Dual fusion ResNet,-5.759140236678471
2028-05-01,27,M5 Dual fusion ResNet,-2.9875214527715332
2028-06-01,28,M5 Dual fusion ResNet,-2.533926685081667
2028-07-01,29,M5 Dual fusion ResNet,-2.239522237660492
2028-08-01,30,M5 Dual fusion ResNet,-2.2753676779143936
2028-09-01,31,M5 Dual fusion ResNet,-2.6308351878884273
2028-10-01,32,M5 Dual fusion ResNet,-0.9991657922554877
2028-11-01,33,M5 Dual fusion ResNet,-1.4895473219173898
2028-12-01,34,M5 Dual fusion ResNet,2.0367748990444703
