level,series,method,lead_months,n,correlation,rmse,mae,r2,slope,variance_ratio
AM-IMF,IMF3_AMIMF4,Strength component NN,6,129,0.9900058345068246,0.03208624222258499,0.02788436098434265,0.9489160314598659,0.8060988361008306,0.6629809963979096
AM-IMF,IMF3_AMIMF4,Strength component NN,9,129,0.9857491897359169,0.040003690356066594,0.03425527114767581,0.9157577243008894,0.7399189573622468,0.5634241412071997
AM-IMF,IMF3_AMIMF4,Strength component NN,12,129,0.9790593306388631,0.045234206615574146,0.0374330262629362,0.8855759042538682,0.704069205275822,0.5171454137809093
AM-IMF,IMF3_AMIMF5,Strength component NN,1,129,0.9999689738401533,0.027748882443790403,0.02495154917993711,0.8734214413574134,0.8444690310473246,0.7131721977006994
AM-IMF,IMF3_AMIMF5,Strength component NN,3,129,0.9999866242779604,0.04064542726188555,0.03791781093176952,0.7371025497031131,0.8153839157886561,0.664868716206174
AM-IMF,IMF3_AMIMF5,Strength component NN,6,129,0.9999993881311148,0.03375466570053386,0.030262156537677765,0.827272385595218,0.8158983459701258,0.6656909255876663
AM-IMF,IMF3_AMIMF5,Strength component NN,9,129,0.999977818143773,0.053517958841655444,0.04980858870005489,0.5862512641698916,0.7647535615963037,0.5848739568664971
AM-IMF,IMF3_AMIMF5,Strength component NN,12,129,0.9998747375071282,0.049770348327769436,0.046112282913042854,0.6589339163037651,0.7805898576467627,0.6094732045638218
AM-IMF,IMF4_AMIMF1,Strength component NN,1,129,0.9942357373924041,0.028371952038805097,0.02232628818448484,0.9844455096449061,0.9595692701502233,0.9314808344479861
AM-IMF,IMF4_AMIMF1,Strength component NN,3,129,0.9871592881613986,0.042883294539960544,0.032432553602140875,0.9655937112283971,0.8973745456668027,0.8263671043146132
AM-IMF,IMF4_AMIMF1,Strength component NN,6,129,0.9575765265366217,0.0779090266236836,0.061106155468427126,0.8986780645653303,0.8064889197505187,0.709332448430984
AM-IMF,IMF4_AMIMF1,Strength component NN,9,129,0.938740339429617,0.10081921952606349,0.0764811723555913,0.8590930888048978,0.7659049185767298,0.6656696486347474
AM-IMF,IMF4_AMIMF1,Strength component NN,12,129,0.9271459629960531,0.11978351857971166,0.0904023112060051,0.8383144963529148,0.7453062395950331,0.6462094294407319
AM-IMF,IMF4_AMIMF2,Strength component NN,1,129,0.9991744952405908,0.01615140200857752,0.01434095161218746,0.9948125882718994,0.9405660563018496,0.8861269063661414
AM-IMF,IMF4_AMIMF2,Strength component NN,3,129,0.9922478437357031,0.03964757699622238,0.03284019163665514,0.9681694269397748,0.8889246789591195,0.8025823403680352
AM-IMF,IMF4_AMIMF2,Strength component NN,6,129,0.9902504293890495,0.051969678746590704,0.04500774807712255,0.9463795016708934,0.8252751661302812,0.6945563313776638
AM-IMF,IMF4_AMIMF2,Strength component NN,9,129,0.9824242023444856,0.07115402259226998,0.0612956449739738,0.9088116814194227,0.7454080218596014,0.5756917668921866
AM-IMF,IMF4_AMIMF2,Strength component NN,12,129,0.9806380384524621,0.10035546211699395,0.08401939233470632,0.8489323606774163,0.6428993335466461,0.4298020479462261
AM-IMF,IMF4_AMIMF3,Strength component NN,1,129,0.9987151202020115,0.01623320951839192,0.013506939208846045,0.9943086916244899,1.0085637158262808,1.0198197769022925
AM-IMF,IMF4_AMIMF3,Strength component NN,3,129,0.9971822907059608,0.022505425857507113,0.01800725167327606,0.9896629508378734,1.018848519491664,1.043926982951358
AM-IMF,IMF4_AMIMF3,Strength component NN,6,129,0.9966973207043364,0.03178225465420415,0.02754551832422306,0.9809142028905954,0.9711853438215035,0.9494621536078236
